frequency,swahili_word,tags,english_translation
319511,na,CC,and 
209978,ya,GEN-CON 9/10,of 
141843,wa,GEN-CON 1/2,of 
103733,katika,PREP,in 
99483,kwa,PREP,with 
99283,wa,GEN-CON 11,of 
91707,sema,V,say 
91328,wa,V,be 
89472,za,GEN-CON 9/10,of 
86246,wa,GEN-CON 3/4,of 
81556,ya,GEN-CON 5/6,of 
79135,na,ADV,also 
78388,wa,V MOD-CAN,be 
77239,la,GEN-CON 5/6,of 
52081,hiyo,PRON DEM ASS-OBJ 9/10,this 
51577,mtu,N 1/2,man 
49593,cha,GEN-CON 7/8,of 
40626,ni,V NOSUBJ,is 
38463,mwaka,N 3/4,year 
37368,ya,GEN-CON 3/4,of 
36622,kwamba,CONJ,that 
36555,katika,PREP,on 
34947,na,PREP,with 
32861,*bw.,TITLE,*mr. 
32756,fanya,V,do 
30604,wakati,N 11/10,time 
30585,serikali,N 9/10,government 
29518,ake,PRON 0,his/her/its 
28052,lakini,CONJ,but 
27048,hilo,PRON DEM ASS-OBJ 5/6,this 
26994,kama,ADV,as 
26850,baada_ya,PREP,after 
26497,ake,PRON,his/her/its 
26147,nchi,N 9/10,earth 
26028,ni,V NOSUBJ,are 
24755,au,CONJ CC,or 
24694,vya,GEN-CON 7/8,of 
24424,pia,ADV,also 
23370,nchi,N 9/10,in 
23062,taka,V,want 
22720,kwa,PREP,by 
22277,toa,V,give 
22102,pata,V,get 
21915,mtoto,N 1/2,child 
21553,chama,N 7/8,party 
20669,ni,V INIT,is 
20422,kubwa,ADJ A-INFL,big 
20378,hao,PRON DEM ASS-OBJ 1/2,these 
20249,zaidi,AD-ADJ,more 
19995,hayo,PRON DEM ASS-OBJ 5/6,these 
19731,ao,PRON,their 
19275,huyo,PRON DEM ASS-OBJ 1/2,this 
19236,kwenye,PREP,in 
19099,jambo,N 5/6,matter 
18643,hii,PRON DEM 9/10,this 
18013,kiongozi,N 7/8,leader 
17278,endelea,V,continue 
17064,ao,PRON 0,their 
17057,tuma,V,use 
16985,huo,PRON DEM ASS-OBJ 3/4,this 
16893,weza,V,be able to 
16800,pa,V,give 
16800,hizo,PRON DEM ASS-OBJ 9/10,these 
16707,anza,V,begin 
16649,dai,V,claim 
16116,toka,V,leave 
15918,kama,CONJ,if 
15699,kazi,N 9/10,work 
15270,enda,V,go 
14925,eneo,N 5/6,area 
14858,ona,V,see 
14455,taifa,N 5/6,nation 
14435,tu,ADV,only 
14433,habari,N 9/10,news 
14380,siku,N 9/10,day 
14087,weza,V,can 
14018,mji,N 3/4,in the town 
13963,huu,PRON DEM 3/4,this 
13822,kila,ADJ-PRE,every 
13497,kutokana_na,PREP,deriving from 
13253,rais,N TITLE,*president 
13206,ili,CONJ,in order to 
13105,hivyo,ADV,in this way 
12994,hali,N 9/10,state 
12791,kuu,ADJ A-INFL,great 
